kind,lat,lon,name
locker,59.286219,18.401866,L 100
locker,59.245063,18.260108,L 101
locker,59.313724,18.005764,L 102
locker,59.495434,18.408991,L 103
locker,59.350174,18.213853,L 104
locker,59.205123,17.916795,L 105
locker,59.499555,18.115777,L 106
locker,59.345264,18.234681,L 107
locker,59.169805,18.119297,L 108
locker,59.331031,18.308466,L 109
locker,59.206077,18.384586,L 110
locker,59.178106,17.838686,L 111
locker,59.364379,18.183425,L 112
locker,59.234210,17.792237,L 113
locker,59.471186,17.881227,L 114
locker,59.364192,18.144096,L 115
locker,59.300780,18.118941,L 116
locker,59.338242,18.366220,L 117
locker,59.223016,18.212292,L 118
locker,59.235470,17.986588,L 119
locker,59.392109,17.919112,L 120
locker,59.263502,18.237421,L 121
locker,59.175368,18.030615,L 122
locker,59.510315,18.409465,L 123
locker,59.175628,17.857937,L 124
locker,59.245062,18.365201,L 125
locker,59.467777,18.327169,L 126
locker,59.282802,17.818907,L 127
locker,59.450732,18.203380,L 128
locker,59.370399,18.403222,L 129
locker,59.385701,17.713296,L 130
locker,59.444712,17.918676,L 131
locker,59.389106,18.369195,L 132
locker,59.197705,17.789096,L 133
locker,59.187846,18.097492,L 134
locker,59.247647,18.133845,L 135
locker,59.408721,17.851205,L 136
locker,59.378560,17.893743,L 137
locker,59.325851,18.345531,L 138
locker,59.455203,17.772803,L 139
locker,59.302354,17.902687,L 140
locker,59.150408,18.250984,L 141
locker,59.379601,17.892314,L 142
locker,59.417265,18.096405,L 143
locker,59.303841,17.714597,L 144
locker,59.176345,18.329872,L 145
locker,59.476121,18.092115,L 146
locker,59.451039,18.118122,L 147
locker,59.202698,17.797562,L 148
locker,59.260638,18.341054,L 149
locker,59.437122,18.314090,L 150
locker,59.474310,17.855769,L 151
locker,59.239393,17.780196,L 152
locker,59.431332,18.330596,L 153
locker,59.296132,18.144998,L 154
locker,59.205035,18.362821,L 155
locker,59.461896,18.395454,L 156
locker,59.442421,18.328681,L 157
locker,59.158092,18.226643,L 158
locker,59.269293,18.363480,L 159
locker,59.439333,18.316458,L 160
locker,59.442413,17.895731,L 161
locker,59.433957,17.783931,L 162
locker,59.464631,18.312604,L 163
locker,59.229591,18.283013,L 164
locker,59.315640,17.922771,L 165
locker,59.436841,17.868110,L 166
locker,59.157686,17.843831,L 167
locker,59.267874,18.316661,L 168
locker,59.498897,17.904409,L 169
locker,59.381181,17.989330,L 170
